name,group,relationship_type,priority,age_group,cluster,table,seat
Gayan Rajapaksha,VIP,vip,5,adult,0,Table 1,1
Shanika Bandara,VIP,vip,5,adult,0,Table 1,2
Kavindi Wijeratne,VIP,vip,5,adult,0,Table 1,3
Harsha Bandara,VIP,vip,5,adult,0,Table 1,4
Vidusha Dissanayake,VIP,vip,5,adult,0,Table 1,5
Vidusha Kumarasinghe,VIP,vip,5,adult,0,Table 1,6
Chathurika Mendis,VIP,vip,5,adult,0,Table 1,7
Rashmi Gunawardena,VIP,vip,5,adult,0,Table 1,8
Anjali Herath,VIP,vip,5,adult,0,Table 1,9
Ruwan Mendis,VIP,vip,5,adult,0,Table 1,10
Isuru Jayasuriya,VIP,vip,5,adult,0,Table 2,1
Harsha Abeysekara,VIP,vip,5,adult,0,Table 2,2
Sithara Jayasuriya,VIP,vip,5,adult,0,Table 2,3
Roshan Fernando,VIP,vip,5,adult,0,Table 2,4
Ravindu Gunawardena,VIP,vip,5,adult,0,Table 2,5
Sampath Jayasuriya,VIP,vip,5,adult,0,Table 2,6
Chamath Fernando,VIP,vip,5,adult,0,Table 2,7
Amila Fernando,VIP,vip,5,adult,0,Table 2,8
Buddhika Karunaratne,VIP,vip,5,adult,0,Table 2,9
Poornima Weerasinghe,VIP,vip,5,adult,0,Table 2,10
Chathurika Perera,VIP,vip,5,adult,0,Table 3,1
Chamath de Zoysa,VIP,vip,5,adult,0,Table 3,2
Thanuja Amarasinghe,VIP,vip,5,adult,0,Table 3,3
Chathurika Senanayake,VIP,vip,5,adult,0,Table 3,4
Isuru Gunawardena,VIP,vip,5,adult,0,Table 3,5
Tharushi Karunaratne,VIP,vip,5,adult,0,Table 3,6
Hansika Rathnayake,VIP,vip,5,adult,0,Table 3,7
Isuru Wijesinghe,VIP,vip,5,adult,0,Table 3,8
Asela Ranasinghe,VIP,vip,5,adult,0,Table 3,9
Asela Mendis,VIP,vip,5,adult,0,Table 3,10
Chathurika Weerasinghe,VIP,vip,5,adult,0,Table 4,1
Ravindu Perera,VIP,vip,5,adult,0,Table 4,2
Chathura Wijeratne,VIP,vip,5,adult,0,Table 4,3
Janaka Dissanayake,VIP,vip,5,adult,0,Table 4,4
Dilshan Rajapaksha,VIP,vip,5,adult,0,Table 4,5
Lahiru Wickramasinghe,VIP,vip,5,adult,0,Table 4,6
Nimasha Bandara,VIP,vip,5,adult,0,Table 4,7
Nuwan Abeysekara,VIP,vip,5,adult,0,Table 4,8
Ishara Gunasekara,VIP,vip,5,adult,0,Table 4,9
Thilina Karunaratne,VIP,vip,5,adult,0,Table 4,10
Kavinda de Zoysa,VIP,vip,5,adult,0,Table 5,1
Chanaka Abeysekara,VIP,vip,5,adult,0,Table 5,2
Gimhani Mendis,VIP,vip,5,adult,0,Table 5,3
Tharindu Bandara,VIP,vip,5,adult,0,Table 5,4
Asela Fernando,VIP,vip,5,adult,0,Table 5,5
Prasad Karunaratne,VIP,vip,5,adult,0,Table 5,6
Janaka Kumarasinghe,VIP,vip,5,adult,0,Table 5,7
Isuru Silva,VIP,vip,5,adult,0,Table 5,8
Amaya Samarasinghe,VIP,vip,5,child,0,Table 5,9
Iresha Abeysekara,VIP,vip,5,child,0,Table 5,10
Ishara de Zoysa,VIP,vip,5,child,0,Table 6,1
Tharindu Gunawardena,VIP,vip,5,senior,0,Table 6,2
Iresha Silva,VIP,vip,5,senior,0,Table 6,3
Nadeeka Samarasinghe,VIP,vip,5,senior,0,Table 6,4
Chathura Rajapaksha,Groom's Family,family,4,adult,3,Table 6,5
Tharindu Bandara,Bride's Family,family,4,adult,3,Table 6,6
Nuwan Rajapaksha,Groom's Family,family,4,adult,3,Table 6,7
Achini Senanayake,Groom's Family,family,4,adult,3,Table 6,8
Chathurika Herath,Groom's Family,family,4,adult,3,Table 6,9
Kaveesha Karunaratne,Bride's Family,family,4,adult,3,Table 6,10
Chamara Bandara,Groom's Family,family,4,adult,3,Table 7,1
Poornima Perera,Bride's Family,family,4,adult,3,Table 7,2
Kavinda Gunasekara,Bride's Family,family,4,adult,3,Table 7,3
Deshani Rathnayake,Bride's Family,family,4,adult,3,Table 7,4
Sanduni Jayawardena,Groom's Family,family,4,adult,3,Table 7,5
Amaya Herath,Bride's Family,family,4,adult,3,Table 7,6
Chathura Wijeratne,Groom's Family,family,4,adult,3,Table 7,7
Nimasha Dissanayake,Bride's Family,family,4,adult,3,Table 7,8
Buddhika de Zoysa,Groom's Family,family,4,adult,3,Table 7,9
Dilshan Samarasinghe,Bride's Family,family,4,adult,3,Table 7,10
Sachini Wickramasinghe,Groom's Family,family,4,adult,3,Table 8,1
Piumi Rathnayake,Groom's Family,family,4,adult,3,Table 8,2
Dilshan Wijesinghe,Groom's Family,family,4,adult,3,Table 8,3
Nimasha Gunasekara,Bride's Family,family,4,adult,3,Table 8,4
Sachini Fernando,Groom's Family,family,4,adult,3,Table 8,5
Chamath Mendis,Groom's Family,family,4,adult,3,Table 8,6
Yasodha Jayawardena,Bride's Family,family,4,adult,3,Table 8,7
Chamath Senanayake,Bride's Family,family,4,adult,3,Table 8,8
Poornima Rajapaksha,Groom's Family,family,4,adult,3,Table 8,9
Chamara Amarasinghe,Bride's Family,family,4,adult,3,Table 8,10
Nipun Wijesinghe,Bride's Family,family,4,adult,3,Table 9,1
Nipun Jayasuriya,Groom's Family,family,4,adult,3,Table 9,2
Dilshan Jayawardena,Bride's Family,family,4,adult,3,Table 9,3
Dilini Jayawardena,Bride's Family,family,4,adult,3,Table 9,4
Deshani Amarasinghe,Bride's Family,family,4,adult,3,Table 9,5
Nadeesha Abeysekara,Groom's Family,family,4,adult,3,Table 9,6
Chathurika Kumarasinghe,Groom's Family,family,4,adult,3,Table 9,7
Chanaka Wijeratne,Groom's Family,family,4,adult,3,Table 9,8
Nuwan Bandara,Bride's Family,family,4,adult,3,Table 9,9
Dilini Mendis,Groom's Family,family,4,adult,3,Table 9,10
Shanika de Zoysa,Groom's Family,family,4,adult,3,Table 10,1
Harsha Kumarasinghe,Groom's Family,family,4,adult,3,Table 10,2
Buddhika Dissanayake,Groom's Family,family,4,adult,3,Table 10,3
Harsha Ranasinghe,Groom's Family,family,4,adult,3,Table 10,4
Amaya Bandara,Groom's Family,family,4,adult,3,Table 10,5
Roshan Wickramasinghe,Groom's Family,family,4,adult,3,Table 10,6
Isuru de Zoysa,Bride's Family,family,4,adult,3,Table 10,7
Deshani Gunasekara,Groom's Family,family,4,adult,3,Table 10,8
Yohan Silva,Bride's Family,family,4,adult,3,Table 10,9
Ravindu Herath,Bride's Family,family,4,adult,3,Table 10,10
Hansika Silva,Bride's Family,family,4,adult,3,Table 11,1
Vidusha Samarasinghe,Bride's Family,family,4,adult,3,Table 11,2
