name,email,phone,group,notes,rsvp,relationship_type,priority,age_group
Harsha Karunaratne,harsha.karunaratne@gmail.com,0768887754,Bride's Friends,Bringing +1,Accepted,friend,2,adult
Achini Perera,achini.perera@gmail.com,0785176895,Relatives,Part of Poruwa ceremony party,Accepted,family,3,adult
Nuwan Rajapaksha,nuwan.rajapaksha@outlook.com,0772576392,Neighbours,Allergic to peanuts,Accepted,other,1,adult
Tharindu Bandara,tharindu.bandara@gmail.com,0755078362,Bride's Family,Late arrival expected,Accepted,family,4,adult
Vidusha Gunasekara,vidusha.gunasekara@yahoo.com,0722501223,Groom's Friends,,Accepted,friend,2,adult
Tharushi Samarasinghe,tharushi.samarasinghe@gmail.com,0706964596,Bride's Friends,,Accepted,friend,2,adult
Lahiru Weerasinghe,lahiru.weerasinghe@hotmail.com,0788360481,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult
Ruwan Bandara,ruwan.bandara@gmail.com,0758340032,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult
Tharindu de Zoysa,tharindu.dezoysa@hotmail.com,0728858359,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult
Buddhika Wickramasinghe,buddhika.wickramasinghe@outlook.com,0725418267,Neighbours,,Accepted,other,1,adult
Amaya Karunaratne,amaya.karunaratne@yahoo.com,0707108168,Other,,Accepted,other,1,adult
Iresha Karunaratne,iresha.karunaratne@yahoo.com,0769347489,Neighbours,Bringing 2 children,Accepted,other,1,child
Nuwan Rajapaksha,nuwan.rajapaksha@gmail.com,0754214793,Groom's Family,Traveling from Kandy,Accepted,family,4,adult
Amaya Herath,amaya.herath@hotmail.com,0707146400,Groom's Friends,,Accepted,friend,2,adult
Gayan Rajapaksha,gayan.rajapaksha@outlook.com,0782341452,VIP,,Accepted,vip,5,adult
Chamath Abeysekara,chamath.abeysekara@hotmail.com,0781978112,Other,,Accepted,other,1,adult
Achini Senanayake,achini.senanayake@gmail.com,0719715516,Groom's Family,Needs wheelchair access,Accepted,family,4,adult
Kavindi Rajapaksha,kavindi.rajapaksha@yahoo.com,0764001408,Neighbours,Traveling from Jaffna,Accepted,other,1,adult
Iresha Karunaratne,iresha.karunaratne@hotmail.com,0773653760,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult
Thilina Senanayake,thilina.senanayake@gmail.com,0724722641,Groom's Friends,,Accepted,friend,2,adult
Shanika Bandara,shanika.bandara@yahoo.com,0701633110,VIP,Vegetarian meal,Accepted,vip,5,adult
Thilina Amarasinghe,thilina.amarasinghe@yahoo.com,0715299058,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Kavindi Wijeratne,kavindi.wijeratne@gmail.com,0776447428,VIP,Late arrival expected,Accepted,vip,5,adult
Chathurika Herath,chathurika.herath@hotmail.com,0707401281,Groom's Family,Requires seat near stage,Accepted,family,4,adult
Nipun Abeysekara,nipun.abeysekara@outlook.com,0783022334,Groom's Friends,,Accepted,friend,2,adult
Kaveesha Karunaratne,kaveesha.karunaratne@gmail.com,0729797692,Bride's Family,Late arrival expected,Accepted,family,4,adult
Anjali Abeysekara,anjali.abeysekara@hotmail.com,0787615632,Bride's Friends,,Accepted,friend,2,adult
Vidusha de Zoysa,vidusha.dezoysa@yahoo.com,0757632348,Other,No pork,Accepted,other,1,adult
Chamara Bandara,chamara.bandara@outlook.com,0722503148,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult
Sampath Weerasinghe,sampath.weerasinghe@hotmail.com,0761406123,Bride's Colleagues,Elderly guest,Accepted,colleague,2,senior
Thanuja Wijesinghe,thanuja.wijesinghe@yahoo.com,0751752920,Groom's Friends,Elderly guest,Accepted,friend,2,senior
Chamath Silva,chamath.silva@gmail.com,0771914996,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult
Achini Senanayake,achini.senanayake1@gmail.com,0722866934,Bride's Colleagues,,Accepted,colleague,2,adult
Chamath de Zoysa,chamath.dezoysa@yahoo.com,0719778944,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Poornima Perera,poornima.perera@outlook.com,0769838222,Bride's Family,,Accepted,family,4,adult
Kavinda Gunasekara,kavinda.gunasekara@hotmail.com,0708800748,Bride's Family,Bringing +1,Accepted,family,4,adult
Deshani Rathnayake,deshani.rathnayake@hotmail.com,0782810117,Bride's Family,Traveling from Kandy,Accepted,family,4,adult
Nadeeka Mendis,nadeeka.mendis@gmail.com,0729131281,Other,Vegan meal,Accepted,other,1,adult
Chanaka de Zoysa,chanaka.dezoysa@gmail.com,0705150551,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult
Tharindu Perera,tharindu.perera@hotmail.com,0776904121,Groom's Colleagues,Needs wheelchair access,Accepted,colleague,2,adult
Hansika Dissanayake,hansika.dissanayake@yahoo.com,0727590872,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult
Poornima Herath,poornima.herath@yahoo.com,0755032585,Other,Bringing 2 children,Accepted,other,1,child
Tharushi Wijesinghe,tharushi.wijesinghe@yahoo.com,0713324928,Other,Allergic to peanuts,Accepted,other,1,adult
Nadeesha Gunasekara,nadeesha.gunasekara@yahoo.com,0753435253,Other,Requires seat near stage,Accepted,other,1,adult
Suresh Wijeratne,suresh.wijeratne@gmail.com,0716328403,Bride's Friends,Requires seat near stage,Accepted,friend,2,adult
Chamodi Abeysekara,chamodi.abeysekara@hotmail.com,0755593537,Bride's Friends,,Accepted,friend,2,adult
Kasun Samarasinghe,kasun.samarasinghe@hotmail.com,0764874049,Other,,Accepted,other,1,adult
Asela Samarasinghe,asela.samarasinghe@outlook.com,0719427608,Other,Elderly guest,Accepted,other,1,senior
Nadeeka Kumarasinghe,nadeeka.kumarasinghe@outlook.com,0713747879,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Nimasha Bandara,nimasha.bandara@outlook.com,0714402982,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Vidusha Gunasekara,vidusha.gunasekara@hotmail.com,0788676330,Groom's Friends,,Accepted,friend,2,adult
Achini Karunaratne,achini.karunaratne@hotmail.com,0759995261,Neighbours,,Accepted,other,1,adult
Sanduni Wijesinghe,sanduni.wijesinghe@gmail.com,0719702386,Neighbours,,Accepted,other,1,adult
Amaya Samarasinghe,amaya.samarasinghe@gmail.com,0715885179,VIP,Bringing 2 children,Accepted,vip,5,child
Nadeesha Wijesinghe,nadeesha.wijesinghe@yahoo.com,0755939543,Other,No pork,Accepted,other,1,adult
Sanduni Jayawardena,sanduni.jayawardena@outlook.com,0709399643,Groom's Family,Late arrival expected,Accepted,family,4,adult
Shanika de Zoysa,shanika.dezoysa@yahoo.com,0757938373,Groom's Colleagues,Vegan meal,Accepted,colleague,2,adult
Thilina Gunasekara,thilina.gunasekara@yahoo.com,0752512963,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult
Chathurika Silva,chathurika.silva@gmail.com,0778539654,Groom's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Amaya Herath,amaya.herath@yahoo.com,0757385526,Bride's Family,Requires seat near stage,Accepted,family,4,adult
Poornima Wickramasinghe,poornima.wickramasinghe@yahoo.com,0783426109,Bride's Friends,,Accepted,friend,2,adult
Chathura Wijeratne,chathura.wijeratne@outlook.com,0724031576,Groom's Family,Allergic to peanuts,Accepted,family,4,adult
Harsha Bandara,harsha.bandara@gmail.com,0759348805,VIP,,Accepted,vip,5,adult
Vidusha Dissanayake,vidusha.dissanayake@yahoo.com,0768981122,VIP,,Accepted,vip,5,adult
Nimasha Dissanayake,nimasha.dissanayake@hotmail.com,0764483580,Bride's Family,,Accepted,family,4,adult
Sachini Wickramasinghe,sachini.wickramasinghe@gmail.com,0776007018,Groom's Colleagues,,Accepted,colleague,2,adult
Tharindu Gunawardena,tharindu.gunawardena@hotmail.com,0763976601,VIP,Elderly guest,Accepted,vip,5,senior
Dilini Senanayake,dilini.senanayake@outlook.com,0713047210,Bride's Colleagues,Traveling from Jaffna,Accepted,colleague,2,adult
Shanika Rajapaksha,shanika.rajapaksha@gmail.com,0709874251,Groom's Family,Bringing 2 children,Accepted,family,4,child
Yohan Weerasinghe,yohan.weerasinghe@hotmail.com,0766936673,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Kaveesha Kumarasinghe,kaveesha.kumarasinghe@outlook.com,0784018342,Other,Bringing 2 children,Accepted,other,1,child
Nimasha Jayasuriya,nimasha.jayasuriya@gmail.com,0752978465,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Sanjeewa Ranasinghe,sanjeewa.ranasinghe@yahoo.com,0704375360,Bride's Colleagues,,Accepted,colleague,2,adult
Buddhika de Zoysa,buddhika.dezoysa@hotmail.com,0781102865,Groom's Family,Requires seat near stage,Accepted,family,4,adult
Amila Herath,amila.herath@gmail.com,0783946567,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult
Vidusha Kumarasinghe,vidusha.kumarasinghe@gmail.com,0773277572,VIP,Part of Poruwa ceremony party,Accepted,vip,5,adult
Iresha Weerasinghe,iresha.weerasinghe@outlook.com,0787944979,Bride's Family,Bringing 2 children,Accepted,family,4,child
Poornima Weerasinghe,poornima.weerasinghe@gmail.com,0716565326,Groom's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Kasun Weerasinghe,kasun.weerasinghe@outlook.com,0779963616,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult
Dilshan Samarasinghe,dilshan.samarasinghe@hotmail.com,0776276424,Bride's Family,,Accepted,family,4,adult
Lahiru Ranasinghe,lahiru.ranasinghe@outlook.com,0786077267,Groom's Friends,Vegan meal,Accepted,friend,2,adult
Kavinda Fernando,kavinda.fernando@yahoo.com,0708445293,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult
Ishara Rajapaksha,ishara.rajapaksha@hotmail.com,0759785019,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Chathurika Mendis,chathurika.mendis@yahoo.com,0711613249,VIP,No pork,Accepted,vip,5,adult
Chathura Fernando,chathura.fernando@gmail.com,0728832877,Bride's Family,Bringing 2 children,Accepted,family,4,child
Harsha Senanayake,harsha.senanayake@yahoo.com,0724364763,Groom's Friends,Halal meal required,Accepted,friend,2,adult
Chanaka Rathnayake,chanaka.rathnayake@gmail.com,0723505186,Bride's Friends,,Accepted,friend,2,adult
Iresha Mendis,iresha.mendis@gmail.com,0716877363,Neighbours,Vegetarian meal,Accepted,other,1,adult
Thanuja Senanayake,thanuja.senanayake@yahoo.com,0712195257,Bride's Colleagues,Requires seat near stage,Accepted,colleague,2,adult
Sachini Wickramasinghe,sachini.wickramasinghe1@gmail.com,0751846511,Groom's Family,,Accepted,family,4,adult
Tharindu Gunasekara,tharindu.gunasekara@outlook.com,0766966385,Bride's Colleagues,Allergic to peanuts,Accepted,colleague,2,adult
Poornima de Zoysa,poornima.dezoysa@gmail.com,0788813071,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Chathura Rathnayake,chathura.rathnayake@outlook.com,0754887183,Groom's Friends,Bringing +1,Accepted,friend,2,adult
Rashmi Gunawardena,rashmi.gunawardena@hotmail.com,0786448586,VIP,,Accepted,vip,5,adult
Prasad Kumarasinghe,prasad.kumarasinghe@outlook.com,0783865574,Bride's Colleagues,Late arrival expected,Accepted,colleague,2,adult
Dilshan Karunaratne,dilshan.karunaratne@gmail.com,0722189907,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Anjali Herath,anjali.herath@yahoo.com,0763667917,VIP,Requires seat near stage,Accepted,vip,5,adult
Asela Amarasinghe,asela.amarasinghe@outlook.com,0788304023,Other,Halal meal required,Accepted,other,1,adult
Piumi Rathnayake,piumi.rathnayake@gmail.com,0779164301,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult
Dilshan Wijesinghe,dilshan.wijesinghe@yahoo.com,0727808088,Groom's Family,Traveling from Kandy,Accepted,family,4,adult
Roshan Rathnayake,roshan.rathnayake@gmail.com,0704650919,Bride's Friends,,Accepted,friend,2,adult
Dinesh Weerasinghe,dinesh.weerasinghe@hotmail.com,0766109503,Relatives,Elderly guest,Accepted,family,3,senior
Nayana Perera,nayana.perera@outlook.com,0783140029,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult
Nimasha Gunasekara,nimasha.gunasekara@hotmail.com,0705734685,Bride's Family,Late arrival expected,Accepted,family,4,adult
Sanjeewa Gunasekara,sanjeewa.gunasekara@outlook.com,0757401599,Relatives,Vegan meal,Accepted,family,3,adult
Sampath de Zoysa,sampath.dezoysa@outlook.com,0787044627,Relatives,Vegetarian meal,Accepted,family,3,adult
Chamara Jayawardena,chamara.jayawardena@gmail.com,0719165493,Relatives,Vegetarian meal,Accepted,family,3,adult
Roshan Abeysekara,roshan.abeysekara@outlook.com,0788142130,Other,No pork,Accepted,other,1,adult
Nipun Wijesinghe,nipun.wijesinghe@outlook.com,0724787304,Bride's Friends,,Accepted,friend,2,adult
Gimhani Wijeratne,gimhani.wijeratne@yahoo.com,0779417612,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult
Sachini Fernando,sachini.fernando@outlook.com,0777183722,Groom's Family,,Accepted,family,4,adult
Chamath Mendis,chamath.mendis@hotmail.com,0759672974,Groom's Family,,Accepted,family,4,adult
Roshan Wijeratne,roshan.wijeratne@gmail.com,0776242875,Other,Requires seat near stage,Accepted,other,1,adult
Nimasha Kumarasinghe,nimasha.kumarasinghe@outlook.com,0768872413,Other,Traveling from Jaffna,Accepted,other,1,adult
Kavinda Senanayake,kavinda.senanayake@hotmail.com,0711592675,Other,Late arrival expected,Accepted,other,1,adult
Roshan Kumarasinghe,roshan.kumarasinghe@yahoo.com,0761866037,Bride's Colleagues,,Accepted,colleague,2,adult
Chamara Wickramasinghe,chamara.wickramasinghe@gmail.com,0785661529,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult
Isuru Perera,isuru.perera@gmail.com,0763929534,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Tharindu Bandara,tharindu.bandara@yahoo.com,0754033474,Neighbours,Requires seat near stage,Accepted,other,1,adult
Yasodha Jayawardena,yasodha.jayawardena@yahoo.com,0716789409,Bride's Family,,Accepted,family,4,adult
Ruwan Mendis,ruwan.mendis@outlook.com,0705845129,VIP,Requires seat near stage,Accepted,vip,5,adult
Isuru Jayasuriya,isuru.jayasuriya@hotmail.com,0777562471,VIP,Needs wheelchair access,Accepted,vip,5,adult
Nayana Samarasinghe,nayana.samarasinghe@yahoo.com,0766660743,Bride's Friends,,Accepted,friend,2,adult
Achini Silva,achini.silva@gmail.com,0752639113,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult
Chamath Senanayake,chamath.senanayake@hotmail.com,0711571126,Bride's Family,,Accepted,family,4,adult
Poornima Rajapaksha,poornima.rajapaksha@gmail.com,0773012881,Groom's Family,Vegetarian meal,Accepted,family,4,adult
Harsha Jayawardena,harsha.jayawardena@yahoo.com,0704091420,Bride's Colleagues,,Accepted,colleague,2,adult
Deshani Bandara,deshani.bandara@outlook.com,0776425820,Bride's Colleagues,,Accepted,colleague,2,adult
Nuwan Karunaratne,nuwan.karunaratne@outlook.com,0722007616,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult
Chamara Kumarasinghe,chamara.kumarasinghe@yahoo.com,0767587312,Bride's Friends,,Accepted,friend,2,adult
Harsha Abeysekara,harsha.abeysekara@yahoo.com,0762782574,VIP,,Accepted,vip,5,adult
Chamara Amarasinghe,chamara.amarasinghe@hotmail.com,0788480659,Bride's Family,Vegetarian meal,Accepted,family,4,adult
Nimasha Fernando,nimasha.fernando@outlook.com,0723543551,Groom's Colleagues,Late arrival expected,Accepted,colleague,2,adult
Nimasha Karunaratne,nimasha.karunaratne@outlook.com,0709980912,Groom's Colleagues,Bringing 2 children,Accepted,colleague,2,child
Roshan Jayawardena,roshan.jayawardena@gmail.com,0729969540,Groom's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult
Sithara Jayasuriya,sithara.jayasuriya@hotmail.com,0752423756,VIP,Vegetarian meal,Accepted,vip,5,adult
Kasun Wijeratne,kasun.wijeratne@yahoo.com,0757522436,Groom's Family,Bringing 2 children,Accepted,family,4,child
Nipun Wijesinghe,nipun.wijesinghe@gmail.com,0706692259,Bride's Family,,Accepted,family,4,adult
Sampath Jayawardena,sampath.jayawardena@outlook.com,0773499027,Other,,Accepted,other,1,adult
Ruwan Kumarasinghe,ruwan.kumarasinghe@gmail.com,0751768424,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult
Roshan Fernando,roshan.fernando@hotmail.com,0782632292,VIP,Late arrival expected,Accepted,vip,5,adult
Nipun Jayasuriya,nipun.jayasuriya@gmail.com,0754700592,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult
Nipun Wijeratne,nipun.wijeratne@outlook.com,0723026728,Other,Requires seat near stage,Accepted,other,1,adult
Thanuja Rajapaksha,thanuja.rajapaksha@gmail.com,0763909968,Groom's Colleagues,Bringing +1,Accepted,colleague,2,adult
Ravindu Gunawardena,ravindu.gunawardena@hotmail.com,0763768343,VIP,Late arrival expected,Accepted,vip,5,adult
Dilshan Jayawardena,dilshan.jayawardena@outlook.com,0783646667,Bride's Family,,Accepted,family,4,adult
Tharindu Silva,tharindu.silva@hotmail.com,0758986164,Bride's Friends,Bringing +1,Accepted,friend,2,adult
Chamodi Dissanayake,chamodi.dissanayake@yahoo.com,0761631179,Other,Confirmed via WhatsApp,Accepted,other,1,adult
Dilini Jayawardena,dilini.jayawardena@hotmail.com,0728026061,Bride's Family,Allergic to peanuts,Accepted,family,4,adult
Buddhika Jayasuriya,buddhika.jayasuriya@hotmail.com,0789515120,Groom's Friends,Allergic to peanuts,Accepted,friend,2,adult
Sampath Jayasuriya,sampath.jayasuriya@yahoo.com,0778959326,VIP,,Accepted,vip,5,adult
Prasad Senanayake,prasad.senanayake@yahoo.com,0755217486,Groom's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult
Chamath Fernando,chamath.fernando@yahoo.com,0711487633,VIP,,Accepted,vip,5,adult
Yasodha Wijesinghe,yasodha.wijesinghe@hotmail.com,0754334495,Groom's Colleagues,,Accepted,colleague,2,adult
Malith Fernando,malith.fernando@outlook.com,0714626649,Other,Traveling from Kandy,Accepted,other,1,adult
Chanaka Wijeratne,chanaka.wijeratne@yahoo.com,0777016144,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Amila Fernando,amila.fernando@hotmail.com,0712864104,VIP,Vegan meal,Accepted,vip,5,adult
Anjali Senanayake,anjali.senanayake@yahoo.com,0783851044,Other,Needs wheelchair access,Accepted,other,1,adult
Yohan Mendis,yohan.mendis@outlook.com,0784631304,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Deshani Amarasinghe,deshani.amarasinghe@gmail.com,0751741958,Bride's Family,No pork,Accepted,family,4,adult
Buddhika Karunaratne,buddhika.karunaratne@outlook.com,0782644153,VIP,,Accepted,vip,5,adult
Nimasha Gunasekara,nimasha.gunasekara@outlook.com,0713226537,Groom's Colleagues,,Accepted,colleague,2,adult
Dinesh Senanayake,dinesh.senanayake@yahoo.com,0778705487,Other,,Accepted,other,1,adult
Sanduni Samarasinghe,sanduni.samarasinghe@yahoo.com,0787800818,Bride's Friends,Elderly guest,Accepted,friend,2,senior
Nadeesha Abeysekara,nadeesha.abeysekara@hotmail.com,0774475340,Groom's Family,Requires seat near stage,Accepted,family,4,adult
Tharindu Jayawardena,tharindu.jayawardena@gmail.com,0764434507,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult
Kaveesha Kumarasinghe,kaveesha.kumarasinghe@yahoo.com,0784782209,Groom's Colleagues,Bringing +1,Accepted,colleague,2,adult
Chamodi Bandara,chamodi.bandara@gmail.com,0707254777,Groom's Colleagues,No pork,Accepted,colleague,2,adult
Chathurika Kumarasinghe,chathurika.kumarasinghe@hotmail.com,0757176462,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult
Nadeeka Gunawardena,nadeeka.gunawardena@hotmail.com,0702834838,Bride's Friends,Vegetarian meal,Accepted,friend,2,adult
