name,email,phone,group,notes,rsvp,relationship_type,priority,age_group,cluster
Harsha Karunaratne,harsha.karunaratne@gmail.com,768887754,Bride's Friends,Bringing +1,Accepted,friend,2,adult,4
Achini Perera,achini.perera@gmail.com,785176895,Relatives,Part of Poruwa ceremony party,Accepted,family,3,adult,2
Nuwan Rajapaksha,nuwan.rajapaksha@outlook.com,772576392,Neighbours,Allergic to peanuts,Accepted,other,1,adult,3
Tharindu Bandara,tharindu.bandara@gmail.com,755078362,Bride's Family,Late arrival expected,Accepted,family,4,adult,2
Vidusha Gunasekara,vidusha.gunasekara@yahoo.com,722501223,Groom's Friends,,Accepted,friend,2,adult,4
Tharushi Samarasinghe,tharushi.samarasinghe@gmail.com,706964596,Bride's Friends,,Accepted,friend,2,adult,4
Lahiru Weerasinghe,lahiru.weerasinghe@hotmail.com,788360481,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Ruwan Bandara,ruwan.bandara@gmail.com,758340032,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult,3
Tharindu de Zoysa,tharindu.dezoysa@hotmail.com,728858359,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Buddhika Wickramasinghe,buddhika.wickramasinghe@outlook.com,725418267,Neighbours,,Accepted,other,1,adult,3
Amaya Karunaratne,amaya.karunaratne@yahoo.com,707108168,Other,,Accepted,other,1,adult,3
Iresha Karunaratne,iresha.karunaratne@yahoo.com,769347489,Neighbours,Bringing 2 children,Accepted,other,1,child,3
Nuwan Rajapaksha,nuwan.rajapaksha@gmail.com,754214793,Groom's Family,Traveling from Kandy,Accepted,family,4,adult,2
Amaya Herath,amaya.herath@hotmail.com,707146400,Groom's Friends,,Accepted,friend,2,adult,4
Gayan Rajapaksha,gayan.rajapaksha@outlook.com,782341452,VIP,,Accepted,vip,5,adult,1
Chamath Abeysekara,chamath.abeysekara@hotmail.com,781978112,Other,,Accepted,other,1,adult,3
Achini Senanayake,achini.senanayake@gmail.com,719715516,Groom's Family,Needs wheelchair access,Accepted,family,4,adult,2
Kavindi Rajapaksha,kavindi.rajapaksha@yahoo.com,764001408,Neighbours,Traveling from Jaffna,Accepted,other,1,adult,3
Iresha Karunaratne,iresha.karunaratne@hotmail.com,773653760,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Thilina Senanayake,thilina.senanayake@gmail.com,724722641,Groom's Friends,,Accepted,friend,2,adult,4
Shanika Bandara,shanika.bandara@yahoo.com,701633110,VIP,Vegetarian meal,Accepted,vip,5,adult,1
Thilina Amarasinghe,thilina.amarasinghe@yahoo.com,715299058,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Kavindi Wijeratne,kavindi.wijeratne@gmail.com,776447428,VIP,Late arrival expected,Accepted,vip,5,adult,1
Chathurika Herath,chathurika.herath@hotmail.com,707401281,Groom's Family,Requires seat near stage,Accepted,family,4,adult,2
Nipun Abeysekara,nipun.abeysekara@outlook.com,783022334,Groom's Friends,,Accepted,friend,2,adult,4
Kaveesha Karunaratne,kaveesha.karunaratne@gmail.com,729797692,Bride's Family,Late arrival expected,Accepted,family,4,adult,2
Anjali Abeysekara,anjali.abeysekara@hotmail.com,787615632,Bride's Friends,,Accepted,friend,2,adult,4
Vidusha de Zoysa,vidusha.dezoysa@yahoo.com,757632348,Other,No pork,Accepted,other,1,adult,3
Chamara Bandara,chamara.bandara@outlook.com,722503148,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult,2
Sampath Weerasinghe,sampath.weerasinghe@hotmail.com,761406123,Bride's Colleagues,Elderly guest,Accepted,colleague,2,senior,0
Thanuja Wijesinghe,thanuja.wijesinghe@yahoo.com,751752920,Groom's Friends,Elderly guest,Accepted,friend,2,senior,4
Chamath Silva,chamath.silva@gmail.com,771914996,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult,4
Achini Senanayake,achini.senanayake1@gmail.com,722866934,Bride's Colleagues,,Accepted,colleague,2,adult,0
Chamath de Zoysa,chamath.dezoysa@yahoo.com,719778944,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Poornima Perera,poornima.perera@outlook.com,769838222,Bride's Family,,Accepted,family,4,adult,2
Kavinda Gunasekara,kavinda.gunasekara@hotmail.com,708800748,Bride's Family,Bringing +1,Accepted,family,4,adult,2
Deshani Rathnayake,deshani.rathnayake@hotmail.com,782810117,Bride's Family,Traveling from Kandy,Accepted,family,4,adult,2
Nadeeka Mendis,nadeeka.mendis@gmail.com,729131281,Other,Vegan meal,Accepted,other,1,adult,3
Chanaka de Zoysa,chanaka.dezoysa@gmail.com,705150551,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult,3
Tharindu Perera,tharindu.perera@hotmail.com,776904121,Groom's Colleagues,Needs wheelchair access,Accepted,colleague,2,adult,0
Hansika Dissanayake,hansika.dissanayake@yahoo.com,727590872,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Poornima Herath,poornima.herath@yahoo.com,755032585,Other,Bringing 2 children,Accepted,other,1,child,3
Tharushi Wijesinghe,tharushi.wijesinghe@yahoo.com,713324928,Other,Allergic to peanuts,Accepted,other,1,adult,3
Nadeesha Gunasekara,nadeesha.gunasekara@yahoo.com,753435253,Other,Requires seat near stage,Accepted,other,1,adult,3
Suresh Wijeratne,suresh.wijeratne@gmail.com,716328403,Bride's Friends,Requires seat near stage,Accepted,friend,2,adult,4
Chamodi Abeysekara,chamodi.abeysekara@hotmail.com,755593537,Bride's Friends,,Accepted,friend,2,adult,4
Kasun Samarasinghe,kasun.samarasinghe@hotmail.com,764874049,Other,,Accepted,other,1,adult,3
Asela Samarasinghe,asela.samarasinghe@outlook.com,719427608,Other,Elderly guest,Accepted,other,1,senior,3
Nadeeka Kumarasinghe,nadeeka.kumarasinghe@outlook.com,713747879,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Nimasha Bandara,nimasha.bandara@outlook.com,714402982,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Vidusha Gunasekara,vidusha.gunasekara@hotmail.com,788676330,Groom's Friends,,Accepted,friend,2,adult,4
Achini Karunaratne,achini.karunaratne@hotmail.com,759995261,Neighbours,,Accepted,other,1,adult,3
Sanduni Wijesinghe,sanduni.wijesinghe@gmail.com,719702386,Neighbours,,Accepted,other,1,adult,3
