name,email,phone,group,rsvp,notes
"Vidusha Ranasinghe","vidusha.ranasinghe@outlook.com","0771532460","Groom's Colleagues","Rejected","Vegetarian meal"
"Harsha Karunaratne","harsha.karunaratne@gmail.com","0768887754","Bride's Friends","Accepted","Bringing +1"
"Achini Perera","achini.perera@gmail.com","0785176895","Relatives","Accepted","Part of Poruwa ceremony party"
"Nuwan Rajapaksha","nuwan.rajapaksha@outlook.com","0772576392","Neighbours","Accepted","Allergic to peanuts"
"Dinesh Senanayake","dinesh.senanayake@hotmail.com","0711707762","Neighbours","Rejected","Bringing +1"
"Chathura Rajapaksha","chathura.rajapaksha@hotmail.com","0704653880","Groom's Family","Rejected","Traveling from Jaffna"
"Tharindu Bandara","tharindu.bandara@gmail.com","0755078362","Bride's Family","Accepted","Late arrival expected"
"Vidusha Gunasekara","vidusha.gunasekara@yahoo.com","0722501223","Groom's Friends","Accepted",""
"Tharushi Samarasinghe","tharushi.samarasinghe@gmail.com","0706964596","Bride's Friends","Accepted",""
"Lahiru Weerasinghe","lahiru.weerasinghe@hotmail.com","0788360481","Groom's Friends","Accepted","Traveling from Kandy"
"Ruwan Bandara","ruwan.bandara@gmail.com","0758340032","Neighbours","Accepted","Confirmed via WhatsApp"
"Tharindu de Zoysa","tharindu.dezoysa@hotmail.com","0728858359","Bride's Colleagues","Accepted","Halal meal required"
"Buddhika Wickramasinghe","buddhika.wickramasinghe@outlook.com","0725418267","Neighbours","Accepted",""
"Amaya Karunaratne","amaya.karunaratne@yahoo.com","0707108168","Other","Accepted",""
"Iresha Karunaratne","iresha.karunaratne@yahoo.com","0769347489","Neighbours","Accepted","Bringing 2 children"
"Roshan Weerasinghe","roshan.weerasinghe@gmail.com","0709777848","Groom's Family","Rejected","Vegetarian meal"
"Nuwan Rajapaksha","nuwan.rajapaksha@gmail.com","0754214793","Groom's Family","Accepted","Traveling from Kandy"
"Amaya Herath","amaya.herath@hotmail.com","0707146400","Groom's Friends","Accepted",""
"Gayan Rajapaksha","gayan.rajapaksha@outlook.com","0782341452","VIP","Accepted",""
"Chamath Abeysekara","chamath.abeysekara@hotmail.com","0781978112","Other","Accepted",""
"Achini Senanayake","achini.senanayake@gmail.com","0719715516","Groom's Family","Accepted","Needs wheelchair access"
"Kavindi Rajapaksha","kavindi.rajapaksha@yahoo.com","0764001408","Neighbours","Accepted","Traveling from Jaffna"
"Menaka Jayawardena","menaka.jayawardena@hotmail.com","0778696054","Relatives","Rejected","Vegan meal"
"Iresha Karunaratne","iresha.karunaratne@hotmail.com","0773653760","Neighbours","Accepted","Part of Poruwa ceremony party"
"Sithara Weerasinghe","sithara.weerasinghe@hotmail.com","0787236418","Relatives","Rejected","Traveling from Jaffna"
"Tharushi Herath","tharushi.herath@yahoo.com","0764589118","Relatives","Rejected","Bringing +1"
"Chanaka Wijesinghe","chanaka.wijesinghe@outlook.com","0701581546","Bride's Colleagues","Rejected","No pork"
"Thilina Senanayake","thilina.senanayake@gmail.com","0724722641","Groom's Friends","Accepted",""
